Fc_real,Fc_pre
0.5069387755102042,0.5102040816326531
0.6122448979591837,0.7061224489795919
0.7151020408163266,0.8644897959183674
0.7983673469387755,0.9355102040816327
0.8546938775510204,0.986938775510204
0.8922448979591837,0.9942857142857143
0.9306122448979592,1.0
0.9248979591836735,1.0
0.9510204081632653,1.0
0.963265306122449,1.0
0.9722448979591837,1.0
0.9730612244897959,1.0
0.9844897959183674,1.0
0.9885714285714285,1.0
0.9885714285714285,1.0
0.9926530612244898,1.0
0.9942857142857143,1.0
0.9975510204081632,1.0
0.9951020408163266,1.0
0.9983673469387755,1.0
0.9975510204081632,1.0
0.9983673469387755,1.0
0.9991836734693877,1.0
0.9991836734693877,1.0
0.9975510204081632,1.0
