Fc_real,Fd_real,Fe_real,Fc_pre,Fd_pre,Fe_pre
0.361817198,0.305570579,0.332612223,0.322877231,0.340183883,0.336938886
0.168199027,0.359653867,0.472147107,0.137912385,0.347214711,0.514872904
0.076798269,0.2796106,0.64359113,0.062736614,0.231476474,0.705786912
0.0394808,0.182260681,0.778258518,0.022714981,0.129259059,0.84802596
0.017306652,0.101676582,0.881016766,0.010275825,0.053542455,0.93618172
0.005408329,0.046511628,0.948080043,0.005408329,0.017306652,0.977285019
0.002163332,0.015143321,0.982693348,0.002163332,0.00378583,0.994050838
0.001081666,0.00378583,0.995132504,0,0.001081666,0.998918334
0.000540833,0.001081666,0.998377501,0,0,1
0,0.000540833,0.999459167,0,0,1
